"Twitter Id","Account Create Date (UTC)","Real Name","User Name","Twitter URL","Profile Image URL",Location,Bio,URL,"No. of Tweets",Followers,Following,"No. of Lists","Favourites Count","Time Zone","Verified Account",Language,Protected,"Last Status","Last Status Date (UTC)"
818927131883356161,"2017-01-10 21:06:57","Sarah Sanders",PressSec,https://twitter.com/PressSec,https://pbs.twimg.com/profile_images/893600318025474048/CbCbznYp_normal.jpg,"Washington, D.C.","@WhiteHouse Press Secretary. Proudly representing @POTUS Trump's Administration. Tweets may be archived: https://t.co/eVVzoBb3Zr.",https://t.co/wyOVgSLgBV,1461,2300494,202,5583,191,"Pacific Time (US & Canada)",Yes,en,No,"Group shot in front of AF1 just before we head home after @POTUS historic trip across Asia. #POTUSinAsia https://t.co/Px6TYOgfmT","2017-11-14 06:48:42"
22703645,"2009-03-04 00:03:12","Tucker Carlson",TuckerCarlson,https://twitter.com/TuckerCarlson,https://pbs.twimg.com/profile_images/796823622450982912/XYcUsJUI_normal.jpg,"Washington, DC","Host of &quot;Tucker Carlson Tonight&quot;, weeknights at 8 PM ET on @FoxNews. Re-tweets are emphatic endorsements.",,3422,1299056,99,6978,78,"Central Time (US & Canada)",Yes,en,No,"Wall Street Journal's .@KimStrassel: Clinton's Trump dossier was one of the dirtiest political tricks in U.S. histo… https://t.co/7NlFNOOj6y","2017-11-14 01:57:46"
56561449,"2009-07-14 01:23:16","Jesse Watters",jessebwatters,https://twitter.com/jessebwatters,https://pbs.twimg.com/profile_images/697123861163192320/6ra0cPIS_normal.jpg,,"Co-Host of &quot;The Five&quot; &amp; Host of &quot;Watters' World&quot; on Fox News Channel",https://t.co/rlbjtqJwnw,9341,478696,997,1863,16061,"Eastern Time (US & Canada)",Yes,en,No,"Big @TheFive show!!","2017-11-13 21:54:36"
822215673812119553,"2017-01-19 22:54:27","The White House",WhiteHouse,https://twitter.com/WhiteHouse,https://pbs.twimg.com/profile_images/822251886988267520/28GpoRsy_normal.jpg,"Washington, D.C.","Welcome to @WhiteHouse! Follow for the latest from President @realDonaldTrump and his Administration. Tweets may be archived: https://t.co/IURuMIrzxb",https://t.co/wyOVgSLgBV,2256,15903025,12,5739,9,"Pacific Time (US & Canada)",Yes,en,No,"President Trump and the First Lady's trip to Asia in photos: https://t.co/2EdlNGZPYw #POTUSinAsia https://t.co/mPXqAXAgfl","2017-11-14 01:04:02"
823367015830323201,"2017-01-23 03:09:28","Dan Scavino Jr.",Scavino45,https://twitter.com/Scavino45,https://pbs.twimg.com/profile_images/925537746495721472/8p96jQk6_normal.jpg,"@Twitter @DanScavino","Director of Social Media &amp; Assistant to the 45th @POTUS @realDonaldTrump.",https://t.co/wyOVgSLgBV,2081,187068,387,1448,782,,Yes,en,No,".@POTUS @realDonaldTrump departing #ASEANSummit in the Philippines. #POTUSinAsia https://t.co/gYYhCnegiv","2017-11-14 06:59:15"
471672239,"2012-01-23 04:14:28","Kellyanne Conway",KellyannePolls,https://twitter.com/KellyannePolls,https://pbs.twimg.com/profile_images/854112636287451138/8S0FsJtV_normal.jpg,"Washington, DC","Counselor to the President",,7216,1877852,680,7536,2314,,Yes,en,No,"RT @DanScavino: Huma called @KellyannePolls at 2:30am to connect Mrs. Clinton w/ @realDonaldTrump, as we arrived backstage at the Hilton. 1…","2017-11-10 05:48:51"
20733972,"2009-02-13 00:07:00","Reince Priebus",Reince,https://twitter.com/Reince,https://pbs.twimg.com/profile_images/588448493892579328/CN351XjP_normal.png,"Kenosha, WI and Washington, DC","President @MichaelBestLaw; Exclusive Speaker @WashSpeakers; Former White House Chief of Staff for @realDonaldTrump; Former @GOP Chairman",,10684,946630,368,6865,26,"Eastern Time (US & Canada)",Yes,en,No,"Check out my op-ed on @POTUS GOP pro-growth #TaxReform plan. 
https://t.co/Fle08OCZhJ","2017-11-09 02:25:07"
322293052,"2011-06-22 23:14:47","Roma Downey",RealRomaDowney,https://twitter.com/RealRomaDowney,https://pbs.twimg.com/profile_images/911620755154018306/-3ATCxJb_normal.jpg,"California, USA","Founder LightWorkers / Exec Producer of The Bible, Answered Prayers, A.D.,Son of God, Woodlawn, Little Boy &amp; Ben-Hur / Star of TBAA , https://t.co/Nx1vcKbsex ☀️",https://t.co/Nx1vcKbsex,21812,201460,2200,1347,14672,"Pacific Time (US & Canada)",Yes,en,No,"@causalnexus1 🙏","2017-11-14 04:53:25"
720293443260456960,"2016-04-13 16:51:54","The Trump Organization",Trump,https://twitter.com/Trump,https://pbs.twimg.com/profile_images/875453116333871104/0WX0QPbl_normal.jpg,"New York, NY","The official Twitter page of The @Trump Organization. The most globally recognized brand in luxury real estate, golf, hospitality, and entertainment 🌎",https://t.co/L8emHxSDPh,436,280252,50,1060,3429,"Eastern Time (US & Canada)",Yes,en,No,"#PropertyOfTheDay:  Award winning 750′ waterfront trophy estate on your own private peninsula ⚓ Just Listed Exclusi… https://t.co/bZgiz9AQ2C","2017-11-13 20:32:12"
2325495378,"2014-02-03 13:46:03","Trump Golf",TrumpGolf,https://twitter.com/TrumpGolf,https://pbs.twimg.com/profile_images/912398980486713346/aKrW--HR_normal.jpg,,"The official Twitter page of the most globally recognized brand in luxury golf. We invite you to explore our 19 championship courses worldwide. ⛳️",https://t.co/ETgReKX0A4,1125,74740,100,340,1783,"Eastern Time (US & Canada)",Yes,en,No,"Squeezing in the final rounds of the East Coast golf season 🍂 @TrumpGolfHV https://t.co/kqglFiNef4","2017-11-13 20:55:18"
245963716,"2011-02-01 20:59:30","Tiffany Ariana Trump",TiffanyATrump,https://twitter.com/TiffanyATrump,https://pbs.twimg.com/profile_images/788246962525073408/WD7FUVSz_normal.jpg,,,https://t.co/JlfqGFDPVw,679,451784,113,1329,58,,Yes,en,No,"Just posted a photo https://t.co/GoIWbDI6UZ","2017-11-10 22:38:24"
50769180,"2009-06-25 21:03:25","Laura Ingraham",IngrahamAngle,https://twitter.com/IngrahamAngle,https://pbs.twimg.com/profile_images/926303888365510656/IHt-GEhl_normal.jpg,DC,"Mom, TV &amp; Radio Host, The Ingraham Angle 10p ET Fox News, The Laura Ingraham Show, 9 to Noon ET https://t.co/Wu93dyjL6t. Author, Billionaire at the Barricades",https://t.co/lnkE5EsSNQ,31736,1851611,332,10911,215,"Eastern Time (US & Canada)",Yes,en,No,"RT @FoxNewsInsider: Juanita Broaddrick @atensnut on Roy Moore, Sexual Assault Allegations: 'I Hope Clintons Get What's Due to Them', via @I…","2017-11-14 03:57:36"
22203756,"2009-02-27 23:04:51","Mike Pence",mike_pence,https://twitter.com/mike_pence,https://pbs.twimg.com/profile_images/817805976262811648/pP-XV5Sm_normal.jpg,,"Vice President of the United States",https://t.co/mZB2hymxC9,5326,2707297,1192,7286,738,"Central Time (US & Canada)",Yes,en,No,"RT @VP: A year of accomplishments under @POTUS. 1.5 million new jobs. The stock market is setting records. POTUS stands without apology for…","2017-11-08 15:30:54"
729676086632656900,"2016-05-09 14:15:10","Official Team Trump",TeamTrump,https://twitter.com/TeamTrump,https://pbs.twimg.com/profile_images/745768799849308160/KrZhjkpH_normal.jpg,USA,"Welcome To The Official #TeamTrump Account. Together, We WILL #MakeAmericaGreatAgain! #AmericaFirst",https://t.co/mZB2hymxC9,10937,783677,36,2140,1989,"Eastern Time (US & Canada)",Yes,en,No,"Join us for this week’s REAL news update — we’re praying for Texas, talking tax cuts, &amp;amp; taking a glimpse into the P… https://t.co/9lN527c0Ui","2017-11-10 17:21:53"
14669951,"2008-05-06 05:34:47","DRUDGE REPORT",DRUDGE_REPORT,https://twitter.com/DRUDGE_REPORT,https://pbs.twimg.com/profile_images/53808884/images_normal.jpeg,US,"The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).",http://t.co/dsLXEBfDsQ,205817,1321523,2,21217,0,"Pacific Time (US & Canada)",No,en,No,"SAVAGE FINDS GOD! https://t.co/66uE7jyD9J","2017-11-14 03:21:03"
475802156,"2012-01-27 13:10:13","Vanessa Trump",MrsVanessaTrump,https://twitter.com/MrsVanessaTrump,https://pbs.twimg.com/profile_images/798192933832900608/yD2n8XCU_normal.jpg,,"I'm a Mother of 5 amazing kids. My children are my life!",,2270,233463,160,750,1181,"Eastern Time (US & Canada)",Yes,en,No,"I'm praying for all the victims in my home NYC!","2017-10-31 20:46:07"
75541946,"2009-09-19 12:49:26","Lara Trump",LaraLeaTrump,https://twitter.com/LaraLeaTrump,https://pbs.twimg.com/profile_images/794614331434475520/qIwmY0Aj_normal.jpg,"New York City","NC girl in NYC #MAGA",https://t.co/XjVAWvUQuR,2910,329183,421,1274,4399,"Eastern Time (US & Canada)",Yes,en,No,"Thank you @RealJuanPablo 🇺🇸 https://t.co/pKMiFZxMZp","2017-11-13 18:18:44"
41634520,"2009-05-21 17:41:12","Sean Hannity",seanhannity,https://twitter.com/seanhannity,https://pbs.twimg.com/profile_images/378800000709183776/6273b31aa1836ac86426478aaa82a597_normal.jpeg,NYC,"TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements!",https://t.co/gEpXK0qpWl,36657,3063261,7548,17288,115,"Eastern Time (US & Canada)",Yes,en,No,"So https://t.co/jQ33QCnEpv is the president of the biggest censorship anti-free speech group in America. A known bigot. Spread the word!","2017-11-14 04:14:43"
37764422,"2009-05-04 21:25:22","Fox Nation",foxnation,https://twitter.com/foxnation,https://pbs.twimg.com/profile_images/1272378281/wp-foxnewsheadlines_normal.jpg,,"Join the community that believes in the American dream.",http://t.co/3JIKguw0Ue,76519,408450,479,4388,350,"Eastern Time (US & Canada)",Yes,en,No,".@MooreSenate to Sue @washingtonpost https://t.co/5WgG0DrzdT #RoyMoore","2017-11-13 11:37:16"
4121225056,"2015-11-05 18:19:17","Corey R. Lewandowski",CLewandowski_,https://twitter.com/CLewandowski_,https://pbs.twimg.com/profile_images/890211594931773441/YxUEYlPN_normal.jpg,"Washington, DC","TV Commentator, contributor The Hill, Fmr Campaign Manager POTUS Donald J. Trump, author Let Trump Be Trump! speeches at: https://t.co/loU3KyWFDS",https://t.co/mZB2hymxC9,1331,304816,50,2010,61,"Pacific Time (US & Canada)",Yes,en,No,"Goodell wants $49.5 million a year, private jet for life and healthcare for his family but can’t respect the flag?  https://t.co/csGl1zvkJw","2017-11-13 09:29:33"
